MIDI note number,Key number (Organ),Octave,German Octave,Key number (Piano),Note names (English),Note names (German),Frequency (Equal tuning at 440 Hz)
top of MIDI tuning range,,,,,G#9/Ab9,gis’’’’’’/ges’’’’’’,13290.15.00
127,,,,,G9,g’’’’’’,12544.25.00
126,,,,,F#9/Gb9,fis’’’’’’/ges’’’’’’,11840.22.00
125,,,,,F9,f’’’’’’,11175.30.00
124,,,,,E9,e’’’’’’,10548.08.00
123,,,,,D#9/Eb9,dis’’’’’’/es’’’’’’,9956.06.00
122,,,,,D9,d’’’’’’,9397.27.00
121,,,,,C#9/Db9,cis’’’’’’/des’’’’’’,8870.24.00
120,,,,,C9,c’’’’’’,8372.02.00
119,,,,,B8,h’’’’’,7902.13.00
118,,,,,A#8/Bb8,ais’’’’’/b’’’’’,7459.02.00
117,,,,,A8,a’’’’’,7040.00.00
116,,,,,G#8/Ab8,gis’’’’’/ges’’’’’,6645.28.00
115,,,,,G8,g’’’’’,6272.33.00
114,,,,,F#8/Gb8,fis’’’’’/ges’’’’’,5920.31.00
113,,,,,F8,f’’’’’,5588.05.00
112,,,,,E8,e’’’’’,5274.04.00
111,,,,,D#8/Eb8,dis’’’’’/es’’’’’,4978.03.00
110,,,,,D8,d’’’’’,4699.04.00
109,,,,,C#8/Db8,cis’’’’’/des’’’’’,4435.32.00
108,,,,88,C8,c’’’’’,4186.01.00
107,,,,87,B7,h’’’’,3951.07.00
106,,,,86,A#7/Bb7,ais’’’’/b’’’’,3729.31.00
105,,,,85,A7,a’’’’,3520.00.00
104,,,,84,G#7/Ab7,gis’’’’/ges’’’’,3322.44.00
103,,,,83,G7,g’’’’,3136.36.00
102,,,,82,F#7/Gb7,fis’’’’/ges’’’’,2960.36.00
101,,,,81,F7,f’’’’,2794.23.00
100,,,,80,E7,e’’’’,2637.02.00
99,,,,79,D#7/Eb7,dis’’’’/es’’’’,2489.02.00
98,,,,78,D7,d’’’’,2349.32.00
97,,,,77,C#7/Db7,cis’’’’/des’’’’,2217.46.00
96,61,,,76,C7,c’’’’,2093.00.00
95,60,,,75,B6,h’’’,1975.53.00
94,59,,,74,A#6/Bb6,ais’’’/b’’’,1865.06.00
93,58,,,73,A6,a’’’,1760.00.00
92,57,,,72,G#6/Ab6,gis’’’/as’’’,1661.22.00
91,56,,,71,G6,g’’’,1568.38.00
90,55,,,70,F#6/Gb6,fis’’’/ges’’’,1480.38.00
89,54,,,69,F6,f’’’,1397.31.00
88,53,,,68,E6,e’’’,1318.51.00
87,52,,,67,D#6/Eb6,dis’’’/es’’’,1244.51.00
86,51,,,66,D6,d’’’,1175.06.00
85,50,,,65,C#6/Db6,cis’’’/des’’’,1109.13.00
84,49,,,64,C6,c’’’,1046.50.00
83,48,,,63,B5,h’’,988.17.00
82,47,,,62,A#5/Bb5,ais’’/b’’,932.33.00
81,46,,,61,A5,a’’,880.00.00
80,45,,,60,G#5/Ab5,gis’’/as’’,831.01.00
79,44,,,59,G5,g’’,784.39.00
78,43,,,58,F#5/Gb5,fis’’/ges’’,740.39.00
77,42,,,57,F5,f’’,698.46.00
76,41,,,56,E5,e’’,659.26.00
75,40,,,55,D#5/Eb5,dis’’/es’’,622.25.00
74,39,,,54,D5,d’’,587.33.00
73,38,,,53,C#5/Db5,cis’’/des’’,554.37.00
72,37,,,52,C5,c’’,523.25.00
71,36,,,51,B4,h’,494.28.00
70,35,,,50,A#4/Bb4,ais’/b’,466.16.00
69,34,,,49,A4 concert pitch,a’ Kammerton,440.00.00
68,33,,,48,G#4/Ab4,gis’/as’,415.30.00
67,32,,,47,G4,g’,392.00.00
66,31,,,46,F#4/Gb4,fis’/ges’,370.39.00
65,30,,,45,F4,f’,349.23.00
64,29,,,44,E4,e’,330.03.00
63,28,,,43,D#4/Eb4,dis’/es’,311.13.00
62,27,,,42,D4,d’,294.06.00
61,26,,,41,C#4/Db4,cis’/des’,277.18.00
60,25,,,40,C4 (middle C),c’ (Schloss-C),262.03.00
59,24,,,39,B3,h,247.34.00
58,23,,,38,A#3/Bb3,ais/b,233.08.00
57,22,,,37,A3,a,220.00.00
56,21,,,36,G#3/Ab3,gis/as,208.05.00
55,20,,,35,G3,g,196.00.00
54,19,,,34,F#3/Gb3,fis/ges,185.00.00
53,18,,,33,F3,f,175.01.00
52,17,,,32,E3,e,165.21.00
51,16,,,31,D#3/Eb3,dis/es,155.56.00
50,15,,,30,D3,d,147.23.00
49,14,,,29,C#3/Db3,cis/des,138.59.00
48,13,,,28,C3,c,131.21.00
47,12,,,27,B2,H,123.47.00
46,11,,,26,A#2/Bb2,Ais/B,116.54.00
45,10,,,25,A2,A,110.00.00
44,9,,,24,G#2/Ab2,Gis/As,104.23.00
43,8,,,23,G2,G,98.00.00
42,7,,,22,F#2/Gb2,Fis/Ges,92.50.00
41,6,,,21,F2,F,87.31.00
40,5,,,20,E2,E,82.41.00
39,4,,,19,D#2/Eb2,Dis/Es,78.18.00
38,3,,,18,D2,D,73.42.00
37,2,,,17,C#2/Db2,Cis/Des,69.30.00
36,1,,,16,C2,C,65.41.00
35,,,,15,B1,H1,62.14.00
34,,,,14,A#1/Bb1,Ais1/b1,58.27.00
33,,,,13,A1,A1,55.00.00
32,,,,12,G#1/Ab1,Gis1/As1,52.31.00
31,,,,11,G1,G1,49.00.00
30,,,,10,F#1/Gb1,Fis1/Ges1,46.25.00
29,,,,9,F1,F1,44.05.00
28,,,,8,E1,E1,41.20.00
27,,,,7,D#1/Eb1,Dis1/Es1,39.29.00
26,,,,6,D1,D1,37.11.00
25,,,,5,C#1/Db1,Cis1/Des1,35.05.00
24,,,,4,C1,C1,33.10.00
23,,,,3,B0,H2,31.27.00
22,,,,2,A#0/Bb0,Ais2/B2,29.14.00
21,,,,1,A0,A2,27.50.00
20,,,,,,,26.36.00
19,,,,,,,24.50.00
18,,,,,,,23.12
